,year,name,position,height,weight,fortyyd,twentyss,threecone,vertical,broad,bench,college,picktotal,first4av,carav,drav
1,2010,Nate Allen,FS,6-1.0000,207,4.5,0,0,0,0,16,South Florida,37,28,26,26
2,2010,Tyson Alualu,DE,6-3.0000,295,4.87,4.43,0,35.5,116,21,California,10,29,31,31
3,2010,Javier Arenas,CB,5-9.0000,197,4.6,0,0,0,112,0,Alabama,50,8,8,7
4,2010,Larry Asante,SS,6-1.0000,212,4.62,4.17,0,37.5,118,14,Nebraska,160,1,2,
5,2010,Geno Atkins,DT,6-2.0000,293,4.75,4.43,0,33,117,34,Georgia,120,49,61,61
6,2010,Zane Beadles,OG,6-5.0000,310,5.28,0,0,0,0,27,Utah,45,40,42,32
7,2010,Arrelious Benn,WR,6-1.0000,219,4.57,4.32,6.78,37,118,20,Illinois,39,7,7,7
8,2010,Eric Berry,FS,6-1.0000,211,4.4,4.23,0,43,130,19,Tennessee,5,30,38,38
9,2010,Jahvid Best,RB,5-10.0000,199,4.34,4.17,0,32.5,113,18,California,30,13,13,13
10,2010,Sam Bradford,QB,6-4.0000,236,4.79,0,0,0,0,0,Oklahoma,1,27,33,25
11,2010,Dezmon Briscoe,WR,6-2.0000,207,4.66,4.57,7.1,33,115,9,Kansas,191,4,4,
12,2010,Antonio Brown,WR,5-10.0000,186,4.56,4.18,6.98,33.5,105,13,Central Michigan,195,48,60,60
13,2010,Charles Brown,OT,6-6.0000,303,5.24,0,0,31.5,0,21,USC,64,15,15,14
14,2010,Levi Brown,QB,6-4.0000,229,4.93,4.43,0,31.5,106,20,Troy,209,0,0,0
15,2010,Levi Brown,QB,6-4.0000,229,4.93,4.43,0,31.5,106,20,Troy,209,34,33,33
16,2010,Dez Bryant,WR,6-2.0000,225,4.52,4.48,7.21,38,133,0,Oklahoma State,24,52,50,50
17,2010,Bryan Bulaga,OT,6-6.0000,314,5.2,4.75,0,27.5,98,26,Iowa,23,31,34,34
18,2010,Morgan Burnett,FS,6-2.0000,209,4.51,0,0,0,0,16,Georgia Tech,71,23,24,24
19,2010,Crezdon Butler,CB,6-1.0000,191,4.43,4.23,0,39.5,121,17,Clemson,164,2,2,0
20,2010,Donald Butler,ILB,6-1.0000,245,4.62,0,0,0,0,35,Washington,79,30,27,27
21,2010,Nate Byham,TE,6-4.0000,268,4.97,0,0,29,109,0,Pittsburgh,182,0,0,0
22,2010,Kyle Calloway,OT,6-7.0000,323,5.46,4.86,0,23.5,0,22,Iowa,216,0,,
23,2010,Bruce Campbell,OT,6-7.0000,314,4.75,4.69,0,32,101,34,Maryland,106,1,1,1
24,2010,Sean Canfield,QB,6-4.0000,223,4.93,4.39,0,29.5,100,0,Oregon State,239,0,,
25,2010,Selvish Capers,OT,6-5.0000,308,5.11,4.68,0,30.5,106,19,West Virginia,231,0,0,
26,2010,Alex Carrington,DE,6-5.0000,285,4.92,0,0,0,0,26,Arkansas State,72,7,7,6
27,2010,Kam Chancellor,FS,6-3.0000,231,4.62,4.41,0,32,116,22,Virginia Tech,133,36,39,39
28,2010,Jamar Chaney,ILB,6-1.0000,242,4.54,4.29,0,39,124,26,Mississippi State,220,13,13,12
29,2010,Jimmy Clausen,QB,6-2.0000,222,4.76,0,0,0,0,0,Notre Dame,48,1,3,0
30,2010,Keenan Clayton,OLB,6-1.0000,229,4.59,0,0,41.5,124,27,Oklahoma,121,3,3,2
31,2010,Terrence Cody,DT,6-4.0000,349,5.71,5.03,0,20.5,0,0,Alabama,57,14,13,13
32,2010,Kurt Coleman,SS,5-10.0000,192,4.55,0,0,0,0,19,Ohio State,244,17,22,13
33,2010,John Conner,FB,5-11.0000,246,4.64,4.32,0,35,111,24,Kentucky,139,0,0,0
34,2010,Kavell Conner,OLB,6-1.0000,242,4.59,4.6,0,33.5,110,24,Clemson,240,20,20,15
35,2010,Chris Cook,CB,6-2.0000,212,4.45,4.23,0,38,132,7,Virginia,34,9,8,8
36,2010,Riley Cooper,WR,6-4.0000,222,4.53,0,0,33,114,0,Florida,159,17,18,18
37,2010,Perrish Cox,CB,6-1.0000,195,4.58,0,0,32.5,113,12,Oklahoma State,137,12,16,3
38,2010,Rennie Curran,OLB,5-11.0000,235,4.75,0,0,34.5,0,25,Georgia,97,1,1,1
39,2010,Anthony Davis,OT,6-5.0000,323,5.36,4.97,0,33,0,21,Rutgers,11,34,31,31
40,2010,Anthony Davis,OT,6-5.0000,323,5.36,4.97,0,33,0,21,Rutgers,11,0,,
41,2010,Dexter Davis,OLB,6-2.0000,244,4.62,4.3,0,35,109,25,Arizona State,236,1,1,1
42,2010,Hall Davis,DE,6-4.0000,271,4.84,0,0,0,0,28,Louisiana-Lafayette,149,0,0,
43,2010,Eric Decker,WR,6-3.0000,217,4.54,0,0,0,0,15,Minnesota,87,37,42,28
44,2010,Chris DeGeare,OG,6-4.0000,325,5.12,4.9,0,32.5,103,27,Wake Forest,161,2,2,2
45,2010,Dorin Dickerson,TE,6-2.0000,226,4.4,4.3,0,43.5,125,24,Pittsburgh,227,1,1,0
46,2010,Ed Dickson,TE,6-4.0000,249,4.59,4.59,0,34,115,23,Oregon,70,11,11,9
47,2010,Phillip Dillard,ILB,6-1.0000,245,4.65,4.43,0,31.5,106,0,Nebraska,115,0,0,0
48,2010,Anthony Dixon,RB,6-1.0000,233,4.67,4.49,0,33,121,15,Mississippi State,173,7,7,4
49,2010,Jim Dray,TE,6-5.0000,246,4.82,0,0,0,0,17,Stanford,233,4,4,2
50,2010,Carlos Dunlap,DE,6-6.0000,278,4.68,4.61,7.21,31.5,111,21,Florida,54,28,37,37
51,2010,Jonathan Dwyer,RB,5-11.0000,229,4.64,4.67,0,33,107,15,Georgia Tech,188,8,8,8
52,2010,Marcus Easley,WR,6-3.0000,210,4.39,4.6,6.94,34,123,16,Connecticut,107,1,1,1
53,2010,A.J. Edds,OLB,6-4.0000,246,4.62,4.28,0,33,117,16,Iowa,119,0,0,
54,2010,Brody Eldridge,TE,6-5.0000,261,4.72,0,0,31.5,0,0,Oklahoma,162,0,0,0
55,2010,Dedrick Epps,TE,6-4.0000,246,4.72,0,0,0,0,19,Miami (FL),235,0,0,
56,2010,Jacoby Ford,WR,5-9.0000,186,4.28,4.44,7,33.5,115,15,Clemson,108,12,12,12
57,2010,Jason Fox,OT,6-7.0000,305,5.42,0,0,0,0,23,Miami (FL),128,4,9,2
58,2010,Dominique Franks,CB,5-11.0000,194,4.46,4.33,0,33.5,117,10,Oklahoma,135,6,6,5
59,2010,Clifton Geathers,DE,6-8.0000,299,4.98,0,0,36,112,26,South Carolina,186,4,4,
60,2010,Toby Gerhart,RB,6-1.0000,231,4.5,4.25,0,38,118,22,Stanford,51,17,16,13
61,2010,David Gettis,WR,6-3.0000,217,4.43,4.41,6.94,34.5,124,15,Baylor,198,3,3,3
62,2010,Brandon Ghee,CB,6-1.0000,192,4.37,4.07,0,37,127,15,Wake Forest,96,3,3,2
